"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"90","Bandel, Ernst",1800,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q87997"," architect ",10287,12,5,9559,76,5,NA,NA,NA,2.02655952721251
"91"," Bank ,  Heinrich ",1834," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1596639"," painter ",NA,NA,NA,5349,8,1,NA,NA,NA,0.405096640498753
"92","J%C3%BCngere, Francesco",1549,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q705079"," painter ",2168,68,8,1790,30,8,6143,47,8,2.10961218736324
"93"," Bassano ,  Leandro ",1557,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1349666"," painter ",6359,90,12,5692,36,12,7609,50,12,3.230395219832
"94","Baumeister, Johann",1775,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1331909"," painter ",NA,NA,NA,3526,8,1,NA,NA,NA,0.302198395736776
"95","Baumgras, Peter",1827,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2073846"," painter ",NA,NA,NA,2814,11,1,NA,NA,NA,0.28300301172305
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"97","Beach, Thomas",1738,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2422324"," painter ",3957,37,2,3132,4,2,NA,NA,NA,0.672273570445352
"98","1817), Hermann",1817,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1610638"," painter ",NA,NA,NA,4349,21,1,NA,NA,NA,0.439622150370692
"99"," Becker ,  Karl ",1820,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q317492"," painter ",2428,6,5,8076,22,5,1395,3,5,1.47528005053878
"100","Becker, Philipp",1763,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q104584"," painter ",1419,9,2,2390,12,2,NA,NA,NA,0.491174098558708
"101","Behz%C4%81d, Behz%C4%81d",1460," Iran ","https://www.wikidata.org/wiki/Special:EntityPage/Q334875"," painter ",NA,NA,NA,35493,50,25,NA,NA,NA,3.53311066955396
"102","Berckheyde, Gerrit",1638,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q576025"," painter ",NA,NA,NA,2182,37,16,5823,44,16,2.24065219191718
"103","Berckheyde, Job",1630,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q576120"," painter ",NA,NA,NA,2272,18,10,2091,18,10,1.3191691306036
"104"," Biedermann ,  Johann Jakob ",1763," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q123747"," painter ",NA,NA,NA,3384,18,4,NA,NA,NA,0.505741349534368
"105","Bohr, Peter",1773," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1660483"," painter ",NA,NA,NA,10080,16,1,NA,NA,NA,0.728116883617198
"106"," Bourgeois ,  Francis ",1753,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1300643"," painter ",12440,41,4,6473,14,4,NA,NA,NA,1.50804112655016
"107","Cabanel, Alexandre",1823,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q310437"," painter ",8839,221,34,11453,149,33,89184,361,33,11.9808182297862
"108","Chapuy, Nicolas-Marie-Joseph",1790,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1986358"," lithographer ",NA,NA,NA,5675,12,3,NA,NA,NA,0.545875738542201
"109","Critz, John",1551,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1383289"," painter ",18172,74,8,2740,14,8,NA,NA,NA,2.01585482313846
"110"," Dadd ,  Richard ",1817,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q449519"," painter ",12003,92,16,4294,24,16,10102,104,16,4.19353809735263
"111"," Delamotte ,  Philip ",1821,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7183721"," photographer ",NA,NA,NA,5488,6,5,NA,NA,NA,0.587721932796341
"112","Depauly, Anton",1798," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q439170"," painter ",NA,NA,NA,2996,16,5,NA,NA,NA,0.517039243875974
"113","Diogg, Felix",1762," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q1403642"," painter ",NA,NA,NA,9193,19,2,NA,NA,NA,0.746237442734603
"114"," Doll ,  Anton ",1826,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q14446061"," painter ",NA,NA,NA,3323,11,2,NA,NA,NA,0.358926963311226
"115","Eybe, Carl",1813,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1038329"," sculptor ",NA,NA,NA,6223,14,1,NA,NA,NA,0.496415234217336
"116","Eye, August",1825,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q765005"," art historian ",NA,NA,NA,3522,15,1,NA,NA,NA,0.35095644612211
"117","Prangey, Joseph-Philibert",1804,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3184410"," photographer ",NA,NA,NA,4005,6,5,NA,NA,NA,0.504014803349269
"118"," Grefe ,  Conrad ",1823," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q15550060"," painter ",NA,NA,NA,3774,9,1,NA,NA,NA,0.323194310769947
"119","Haanen, Elisabeth",1809,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q5361418"," painter ",1555,25,6,6577,15,6,NA,NA,NA,1.16522382619442
"120"," Heideck ,  Carl ",1788,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q317501"," painter ",3020,251,5,8600,32,5,3833,18,5,2.45818642688459
