"","X.1","X","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca","Occupation_precise"
"3699",3699,3699,17171,1678,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1305530","gardener",NA,NA,NA,2865,10,1,NA,NA,NA,0.114276433069708," gardener "
"3700",3700,3700,17172,1655,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1903552","gardener",NA,NA,NA,4883,18,1,NA,NA,NA,0.213741222066914," gardener "
"3701",3701,3701,17175,1629,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q545017","scientist",NA,NA,NA,4486,25,10,NA,NA,NA,0.479744631299198," botanist "
"3702",3702,3702,17178,1657,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1304260","scientist",NA,NA,NA,3323,12,4,NA,NA,NA,0.219534425897976," botanist "
"3703",3703,3703,17179,1659,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1538175","scientist",NA,NA,NA,6093,13,1,NA,NA,NA,0.227552901434188," botanist "
"3704",3704,3704,17181,1658,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1450999","pharmacist",NA,NA,NA,2784,8,1,NA,NA,NA,0.10243050190022," pharmacist "
"3705",3705,3705,17182,1634,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1187350","scientist",NA,NA,NA,5396,14,8,63030,68,8,2.90031970267834," botanist "
"3706",3706,3706,17183,1656,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1066618","scientist",NA,NA,NA,2143,9,2,NA,NA,NA,0.114674942337562," botanist "
"3707",3707,3707,17184,1610,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1684633","scientist",NA,NA,NA,3105,18,4,NA,NA,NA,0.240899037203858," ornithologist "
"3708",3708,3708,17185,1667,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2423785","scientist",NA,NA,NA,6220,14,3,NA,NA,NA,0.290682867922921," botanist "
"3709",3709,3709,17186,1584,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q775194","scientist",NA,NA,NA,8330,17,7,NA,NA,NA,0.47868227904216," botanist "
"3710",3710,3710,17187,1582,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1697501","scientist",NA,NA,NA,2827,9,1,NA,NA,NA,0.108430328559815," botanist "
"3711",3711,3711,17188,1590,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1291374","scientist",NA,NA,NA,3081,11,4,NA,NA,NA,0.207416457680216," botanist "
"3712",3712,3712,17189,1637,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19959496","university teacher",NA,NA,NA,5936,14,1,NA,NA,NA,0.227403842105678," university teacher "
"3713",3713,3713,17191,1592,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q743303","gardener",NA,NA,NA,5294,5,9,NA,NA,NA,0.38375600339102," gardener "
"3714",3714,3714,17192,1641,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q507790","scientist",NA,NA,NA,3966,24,18,NA,NA,NA,0.677270142414507," botanist "
"3715",3715,3715,17193,1668,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q76049","physician",NA,NA,NA,2218,8,5,NA,NA,NA,0.194124369982149," physician "
