"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"482","Voulgaris, Eugenios",1715,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1373363","",NA,NA,NA,3340,19,11,NA,NA,NA,0.236532542159825
"483","Weisse ,  Christian",1801,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q697259","",5157,49,12,3391,44,12,3366,20,12,0.892067667296486
"484","Welby, Victoria",1837,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q468736","",12743,138,7,4897,17,7,NA,NA,NA,0.620005443751817
"485","Welhaven ,  Johan",1807,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q954720","",7720,80,13,16796,45,13,NA,NA,NA,0.931222655672849
"486","Wenewitinow, Dmitri",1805,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q665344","",3179,21,9,15345,14,9,1440,13,9,0.805501614712359
"487","Werder, Karl",1806,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1733356","",NA,NA,NA,3283,18,1,NA,NA,NA,0.0541672723926419
"488","Wernsdorf, Johann",1762,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q55131965","",NA,NA,NA,4202,11,1,NA,NA,NA,0.0614421975503918
"489","Whewell ,  William",1794,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q333922","",29770,862,31,4857,54,31,3763,41,32,2.97358010778086
"490","Wiedemann, Georg",1787,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q110282","",NA,NA,NA,2932,30,2,NA,NA,NA,0.0795621109305888
"491","Wieland, Ernst",1755,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1358921","",NA,NA,NA,5623,15,1,NA,NA,NA,0.0888044829019333
"492","Wijnpersse, Dionysius",1724,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q1227015","",NA,NA,NA,7666,28,1,NA,NA,NA,0.136023616856076
"493","Wikner ,  Pontus",1837,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q711658","",NA,NA,NA,1551,13,6,NA,NA,NA,0.110858632209833
"494","Willmann ,  Otto",1839,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q100288","",NA,NA,NA,6955,31,4,NA,NA,NA,0.181875932977409
"495","Windischmann, Karl",1775,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q88005","",NA,NA,NA,4134,27,3,NA,NA,NA,0.113803985018928
"496","Wirth, Johann",1810,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1330337","",NA,NA,NA,2855,17,1,NA,NA,NA,0.0461484549242287
"497","Witte, Samuel",1738,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1484476","",NA,NA,NA,4972,23,1,NA,NA,NA,0.0869570435165909
"498","Wundt, Wilhelm",1832,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q75814","",NA,NA,NA,159142,381,68,34778,349,68,6.32434509547118
"499","Wartenburg, Paul",1835,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q101587","",1954,21,4,6798,38,4,NA,NA,NA,0.304273751692499
"500","Zahradn%C3%ADk, Vincenc",1790,"Czech Republic","https://www.wikidata.org/wiki/Special:EntityPage/Q2526459","",NA,NA,NA,3049,12,2,NA,NA,NA,0.0618909289645359
"501","Zeller ,  Eduard",1814,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61862","",9159,85,18,12158,143,18,5305,34,18,1.5957936536017
"502","Ziemi%C4%99cka, Eleonora",1819,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q517365","",NA,NA,NA,2520,7,3,NA,NA,NA,0.0659238229035171
"503","Zimmermann ,  Robert",1824,"Austria","https://www.wikidata.org/wiki/Special:EntityPage/Q84664","",NA,NA,NA,5557,20,11,NA,NA,NA,0.273525687154203
"504","Abbt, Thomas",1738,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q60582","",NA,NA,NA,7629,47,26,4636,16,26,1.13533458826993
"505","Aepinus, Angelius",1718,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q123237","",NA,NA,NA,3622,30,2,NA,NA,NA,0.0907372288696138
"506","Aepinus, Franz",1673,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q96339","",NA,NA,NA,3216,23,3,NA,NA,NA,0.0945881986867041
"507","Agricola ,  Ignaz",1661,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q95408","",NA,NA,NA,1800,18,5,NA,NA,NA,0.102290907802842
"508","Ahlwardt, Peter",1710,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2073611","",NA,NA,NA,3933,35,2,NA,NA,NA,0.101209155761713
"509","Alers, Christian",1737,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1082308","",NA,NA,NA,3237,24,1,NA,NA,NA,0.0599442956196253
"510","Alexander ,  Isaac",1722,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q6075824","",1000,8,3,7296,4,3,NA,NA,NA,0.214698905509933
"511","Algarotti, Francesco",1712,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q439081","",18166,98,17,16890,53,17,NA,NA,NA,1.26834680369295
"512","Amo, Anton",1703,"Ghana","https://www.wikidata.org/wiki/Special:EntityPage/Q595486","",13035,59,11,10279,68,11,14275,11,11,1.25605918181543
