"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"2774"," Loewe ,  Carl ",1796,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q158899"," composer ",10539,374,24,12656,205,24,8506,162,24,4.44514277456029
"2775"," Lomakin ,  Gavriil ",1812,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q513978"," conductor ",NA,NA,NA,2018,14,4,NA,NA,NA,0.215987647414143
"2776","Lorenz, Karl",1837,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q70037"," composer ",NA,NA,NA,2972,24,5,NA,NA,NA,0.296252682833499
"2777"," Loret ,  Clément ",1833,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1103931"," organist ",NA,NA,NA,2061,15,5,NA,NA,NA,0.250229834096908
"2778","Lortzing, Albert",1801,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q154203"," composer ",11175,163,31,13245,446,31,9157,49,31,5.00702306354001
"2779","L%C3%B6schhorn, Carl",1819,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1036703"," composer ",NA,NA,NA,2161,19,5,NA,NA,NA,0.260488629787209
"2780","Lotto, Izydor",1840,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q4267414"," violinist ",NA,NA,NA,4590,11,4,NA,NA,NA,0.296812002794007
"2781"," Løvenskiold ,  Herman ",1815,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1610355"," composer ",3058,31,10,2090,19,10,2957,12,10,1.27106627382751
"2782","L%C3%B6w, Josef",1834," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q13389386"," organist ",NA,NA,NA,2301,7,1,NA,NA,NA,0.120124107882409
"2783","Luca, Olmstead",1826," Liberia ","https://www.wikidata.org/wiki/Special:EntityPage/Q239070"," pianist ",1250,8,3,861,8,3,968,2,3,0.399532534731437
"2784"," Lumbye ,  Hans ",1810,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1346808"," composer ",2325,57,13,8979,23,13,4739,40,13,1.90674448525435
"2785","L%C3%BCtzel, Jakob",1823,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1679089"," composer ",NA,NA,NA,9883,28,1,NA,NA,NA,0.409976255904596
"2786","(Komponist), Friedrich",1820,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q829368"," conductor ",1201,9,5,8464,17,5,4274,9,5,0.934710620015591
"2787","Lwow, Alexei",1798,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q241252"," composer ",6347,39,18,3310,34,18,7895,14,18,2.30372103525753
"2788","Macfarren, George",1813,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1374708"," composer ",21633,114,11,8796,27,11,NA,NA,NA,1.8805127598844
"2789","Magenbauer, Leopold",1834,"Lehrer","https://www.wikidata.org/wiki/Special:EntityPage/Q15825670"," composer ",NA,NA,NA,2851,11,1,NA,NA,NA,0.145431374848273
"2790","Maillart, Aim%C3%A9",1817,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q405748"," composer ",2663,37,8,2291,30,8,5101,31,8,1.1908656158014
"2791","Mailly, Alphonse",1833,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q460715"," composer ",NA,NA,NA,2765,18,6,NA,NA,NA,0.31003389851231
"2792","Malipiero, Francesco",1824,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1441104"," composer ",894,20,5,2397,13,5,NA,NA,NA,0.469129235742241
"2793","Manfroce, Nicola",1791,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3876269"," composer ",825,15,6,1944,6,6,NA,NA,NA,0.495714679195169
"2794","Mantzaros, Nikolaos",1795," Greece ","https://www.wikidata.org/wiki/Special:EntityPage/Q277631"," composer ",6864,51,12,4261,31,12,NA,NA,NA,1.23426341879041
"2795","Marmontel, Antoine",1816,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q586181"," pianist ",4438,66,15,1797,61,15,6767,91,15,2.17399487608159
"2796","Marschner, Adolf",1819,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q214618"," composer ",1594,6,3,2367,6,3,NA,NA,NA,0.336568910172957
"2797","Marschner, Heinrich",1795,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q160063"," conductor ",7901,371,26,12004,204,26,3470,164,26,4.43730154058209
"2798","Marx, Adolf",1795,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q360945"," composer ",5588,57,11,7627,81,11,NA,NA,NA,1.33655533944842
"2799","Maschek, Vinzenz",1800,"tschechischer","https://www.wikidata.org/wiki/Special:EntityPage/Q15852974"," composer ",NA,NA,NA,2870,3,1,NA,NA,NA,0.132237372821779
"2800","Ma%C5%A1ek, Alb%C3%ADn",1804," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q2640225"," composer ",NA,NA,NA,1057,11,2,NA,NA,NA,0.116513684938863
"2801","Ma%C5%A1ek, Ga%C5%A1par",1794," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q328430"," composer ",1521,11,5,1439,16,5,NA,NA,NA,0.451515735184811
"2802"," Mašek ,  Kamilo ",1831," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q959302"," composer ",1444,10,5,1203,11,5,NA,NA,NA,0.431194563722256
"2803"," Mason ,  Lowell ",1792," United States of America ","https://www.wikidata.org/wiki/Special:EntityPage/Q1349257"," composer ",13574,163,7,2543,44,7,NA,NA,NA,1.24850904193811
"2804","(Komponist), William",1829," United States of America ","https://www.wikidata.org/wiki/Special:EntityPage/Q321967"," pianist ",2602,31,4,1776,23,4,NA,NA,NA,0.473145186197436
"2805"," Massé ,  Victor ",1822,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1382004"," composer ",3358,66,13,3145,38,13,11618,112,13,2.09617737995577
"2806","(Komponist), Jean",1793,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1474384"," composer ",NA,NA,NA,1806,15,1,NA,NA,NA,0.117400171404086
"2807","Mayer, Emilie",1812,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q447851"," composer ",6364,23,6,3961,19,6,3492,17,6,1.0768045903669
"2808","Mayer, Friedrich",1790,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1460854"," composer ",NA,NA,NA,3502,15,2,NA,NA,NA,0.205191736498486
"2809","Mazas, Jacques",1782,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q241442"," composer ",2769,24,9,2889,19,9,3225,21,9,1.21378096678912
"2810","Mazzucato, Alberto",1813,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q74849"," composer ",2570,35,8,2826,15,8,NA,NA,NA,0.747999609418004
"2811","M%C4%9Bchura, Leopold",1804," Czech Republic ","https://www.wikidata.org/wiki/Special:EntityPage/Q1682166"," composer ",1499,9,3,2147,9,3,NA,NA,NA,0.3350591751644
"2812","Meinardus, Ludwig",1827,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1795443"," composer ",NA,NA,NA,7380,18,6,7231,5,6,0.797183521836131
"2813","Meissonnier, Jean",1783,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1495593"," composer ",NA,NA,NA,3949,10,1,NA,NA,NA,0.180420972020047
"2814","Membr%C3%A9e, Edmond",1820,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1285702"," composer ",NA,NA,NA,1147,10,1,NA,NA,NA,0.0867191575442082
"2815","Bartholdy, Felix",1809,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q46096"," composer ",92385,2996,93,76948,1916,93,32446,1210,94,25.3177831492483
"2816","Mercadante, Saverio",1795,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q313980"," composer ",23523,282,26,14660,146,26,24017,133,26,5.10372379734478
"2817","Merkel, Gustav",1827,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q265473"," composer ",2003,12,10,3522,42,10,1813,8,10,1.26939941862651
"2818","Mertz, Johann",1806," Austrian Empire ","https://www.wikidata.org/wiki/Special:EntityPage/Q144147"," composer ",13535,51,12,10903,28,12,NA,NA,NA,1.67006475804997
"2819","(Komponist), Karl",1836,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1268082"," organist ",NA,NA,NA,1213,11,2,NA,NA,NA,0.121730488314391
"2820","Methfessel, Adolph",1807,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q365458"," composer ",NA,NA,NA,1463,16,1,NA,NA,NA,0.107658564927979
"2821","Methfessel, Albert",1785,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q215362"," composer ",NA,NA,NA,6376,59,7,NA,NA,NA,0.53274065151063
"2822","Methfessel, Ernst",1811,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1359484"," composer ",NA,NA,NA,1288,17,1,NA,NA,NA,0.103535054394748
"2823","M%C3%A9tra, Olivier",1830,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2020874"," conductor ",4466,10,5,2979,13,5,5825,44,5,0.97364017581949
"2824","(Komponist), Wilhelm",1828,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2574190"," composer ",NA,NA,NA,16162,9,1,NA,NA,NA,0.587107809698228
"2825"," Meyer ,  Carl ",1784,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q64213669"," composer ",NA,NA,NA,2638,17,1,NA,NA,NA,0.148680468221437
"2826","Meyerbeer, Giacomo",1791,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q105237"," composer ",72639,1238,46,20387,657,46,180562,663,46,15.0482915585894
"2827","Mihevec, Jurij",1805," Austrian Empire ","https://www.wikidata.org/wiki/Special:EntityPage/Q1713973"," pianist ",NA,NA,NA,1540,13,3,NA,NA,NA,0.167198605165
"2828","Mikuli, Karol",1821," Austria-Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q549666"," conductor ",7102,45,12,5095,25,12,6341,18,12,1.79664903929524
