"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"231","Begarelli, Antonio",1499,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q946899"," sculptor ",2505,19,5,NA,NA,NA,2132,10,5,0.548544136393724
"232"," Bergamasco ,  Guglielmo ",1485,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3779061"," architect ",1639,10,4,NA,NA,NA,1607,3,4,0.377988161335937
"233"," Bernardi ,  Giovanni ",1494,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q632781"," engraver ",3934,18,5,NA,NA,NA,2689,9,5,0.62296559599052
"234"," Bernini ,  Pietro ",1562,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q712397"," sculptor ",3038,126,14,NA,NA,NA,2278,17,14,1.46348762344829
"235","Berrecci, Bartolommeo",1480,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q3635324"," architect ",3539,36,5,NA,NA,NA,NA,NA,NA,0.343944250742652
"236","Bon, Bartolomeo",1407,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q739267"," sculptor ",1781,33,15,NA,NA,NA,4206,15,15,1.33420975558461
"237","Bracci, Cecchino",1527,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3664078"," painter ",4936,105,2,NA,NA,NA,NA,NA,NA,0.449830571319821
"238"," Brambilla ,  Francesco ",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3749665"," sculptor ",941,4,2,NA,NA,NA,NA,NA,NA,0.0593959068990875
"239","Brandani, Federico",1520,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3741643"," sculptor ",5414,12,2,NA,NA,NA,NA,NA,NA,0.272266905013763
"240"," Buglioni ,  Santi ",1494,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1115656"," sculptor ",1763,18,5,NA,NA,NA,4917,30,5,0.678386541946702
"241","Buonvicino, Ambrogio",1552,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3613823"," sculptor ",1699,4,5,NA,NA,NA,NA,NA,NA,0.19510518249821
"242","Busti, Agostino",1483,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q395600"," sculptor ",2521,14,9,NA,NA,NA,13489,10,9,1.18208262485136
"243","Buzzi, Ippolito",1562,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3801728"," sculptor ",9113,19,3,NA,NA,NA,4720,5,3,0.761051579126468
"244","Caccavello, Annibale",1515,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3618053"," sculptor ",2399,13,4,NA,NA,NA,3368,8,4,0.492763295631237
"245","Caccini, Giovanni",1556,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1086991"," sculptor ",4097,26,6,NA,NA,NA,3514,27,6,0.811743808083798
"246","Calcagni, Antonio",1536,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3619339"," sculptor ",1891,6,3,NA,NA,NA,NA,NA,NA,0.139425277282178
"247","Calcagni, Tiberio",1532,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3528076"," sculptor ",1051,7,3,NA,NA,NA,899,13,3,0.290781186683277
"248","Camilliani, Francesco",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1055650"," sculptor ",3608,10,5,NA,NA,NA,1460,5,5,0.537277448713306
"249"," Campagna ,  Girolamo ",1549,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q281653"," sculptor ",4134,22,5,NA,NA,NA,NA,NA,NA,0.340109421898041
"250","Carlone, Taddeo",1543,"Swiss","https://www.wikidata.org/wiki/Special:EntityPage/Q3513703"," sculptor ",2450,17,3,NA,NA,NA,2903,25,3,0.482666735992472
"251","Cattaneo, Danese",1512,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1080223"," poet ",3045,19,4,NA,NA,NA,NA,NA,NA,0.251861327434986
"252","Cioli, Valerio",1529,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2257363"," sculptor ",1575,10,6,NA,NA,NA,1458,15,6,0.556235472813425
"253","Civitali, Nicolao",1482,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q21548680"," architect ",1335,6,3,NA,NA,NA,NA,NA,NA,0.115087464058709
"254","Civitali, Vincenzo",1523,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q23583932"," architect ",1631,4,3,NA,NA,NA,NA,NA,NA,0.123775743938838
"255","Colonna, Jacopo",1504,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q6119969"," sculptor ",1300,2,2,NA,NA,NA,NA,NA,NA,0.0708418886372711
"256","Cosini, Silvio",1495,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3960853"," sculptor ",2076,5,4,NA,NA,NA,NA,NA,NA,0.179565455638027
"257","Vinci, Pierino",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2257005"," sculptor ",3826,14,6,NA,NA,NA,3183,17,6,0.725928912043229
"258","d%27Agrate, Gian",1489,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3762637"," architect ",812,6,2,NA,NA,NA,NA,NA,NA,0.0580177255950729
"259","Danti, Vincenzo",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1234790"," sculptor ",3824,23,12,NA,NA,NA,1575,10,12,1.08870279211362
"260","D%27Auria, Girolamo",1577,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3768914"," sculptor ",1228,15,2,NA,NA,NA,NA,NA,NA,0.0954357494341783
"261","Porta, Giacomo",1532,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q175566"," architect ",6089,140,31,NA,NA,NA,NA,NA,NA,1.56611700610021
"262","Porta, Guglielmo",1500,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1623328"," architect ",2358,16,7,NA,NA,NA,16202,28,7,1.19334292959696
"263","Dosio, Giovanni",1533,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1083362"," architect ",5460,25,5,NA,NA,NA,2514,21,5,0.744445810573312
"264"," Fontana ,  Annibale ",1540,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3618059"," sculptor ",1342,15,3,NA,NA,NA,2436,10,3,0.358327681558982
